127.0.0.1 - - [26/Dec/2017:09:44:54 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:44:59 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 17623
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:46:47 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 17623
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:47:45 +0530] "POST /FormGeneratorUtility/generateTable HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:47:47 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:49:45 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:50:41 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:27 +0530] "GET /FormGeneratorUtility/js/bootstrap-show-password.min.js HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:29 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:59 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:59 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [26/Dec/2017:09:51:59 +0530] "GET /FormGeneratorUtility/openForm/datetime HTTP/1.1" 200 1710
