127.0.0.1 - - [08/Jan/2018:10:05:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:05:31 +0530] "GET /FormGeneratorUtility/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:06:41 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 77146
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:06:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:08:23 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 77146
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:12:49 +0530] "POST /FormGeneratorUtility/updateForm HTTP/1.1" 200 46278
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:13:21 +0530] "POST /FormGeneratorUtility/updateForm HTTP/1.1" 200 52121
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:13:50 +0530] "POST /FormGeneratorUtility/updateForm HTTP/1.1" 200 71628
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:15:07 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 77146
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:15:42 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 77146
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:09 +0530] "GET /FormGeneratorUtility/openForm/Employee HTTP/1.1" 200 6963
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:25 +0530] "GET /FormGeneratorUtility/openForm/Employee HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/js/custom_alert.js HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /FormGeneratorUtility/js/bootstrap-show-password.min.js HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:40:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:42:53 +0530] "GET /FormGeneratorUtility/openForm/Employee HTTP/1.1" 200 7617
