127.0.0.1 - - [14/Feb/2018:09:32:41 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:32:46 +0530] "GET /FormGeneratorUtility/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:32:55 +0530] "GET /FormGeneratorUtility/index;jsessionid=5BB5BFC8093D364CA18A898B5FB7F5CE HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:33:05 +0530] "GET /FormGeneratorUtility/openForm/file_demo4 HTTP/1.1" 200 17359
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:33:06 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:33:09 +0530] "POST /FormGeneratorUtility/listForDatatable/file_demo4 HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:33:16 +0530] "POST /FormGeneratorUtility/openForm/file_demo4 HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:33:24 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:33:25 +0530] "POST /FormGeneratorUtility/listForDatatable/file_demo4 HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:34:17 +0530] "GET /FormGeneratorUtility/openForm/file_demo4 HTTP/1.1" 200 17365
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:34:18 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:34:18 +0530] "POST /FormGeneratorUtility/listForDatatable/file_demo4 HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:34:34 +0530] "POST /FormGeneratorUtility/openForm/file_demo4 HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:34:58 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Feb/2018:09:35:00 +0530] "POST /FormGeneratorUtility/listForDatatable/file_demo4 HTTP/1.1" 200 1107
